date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,rain_sum,showers_sum,snowfall_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,apparent_temperature_mean,temperature_2m_mean,cape_mean,cape_max,cape_min,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,visibility_mean,visibility_min,visibility_max,winddirection_10m_dominant,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,soil_moisture_0_to_10cm_mean
2018-01-25 04:00:00+00:00,3.0,-3.4195,-10.8195,-6.9465456,-15.821119,34665.098,28042.182,4.65,5.55,0.0,0.0,0.0,0.0,0.0,11.165805,23.4,354.22562,9.89,0.678073,-11.449008,-7.3403325,0.41666666,10.0,0.0,50.75,100.0,3.0,-11.842826,-5.859828,-16.374216,0.678073,70.75,89.0,55.0,0.0,1031.7083,1033.6,1027.5,1010.10126,1012.1953,1005.83185,17012.5,7000.0,25800.0,354.22562,13.139999,5.1355023,5.04,1.1384199,-9.098505,-4.892912,-12.463378,0.19587032,0.0
2018-01-26 04:00:00+00:00,45.0,3.3805,-4.6194997,-0.6761184,-8.36211,34797.918,28786.49,4.65,5.55,0.0,0.0,0.0,0.0,0.0,13.896187,28.8,115.80451,9.67,0.8497626,-4.31694,-0.6549166,1.25,20.0,0.0,32.833332,100.0,0.0,-4.5952163,-0.88879967,-7.707093,0.8497626,75.125,85.0,59.0,0.0,1029.5709,1033.7,1023.0,1008.53033,1012.39886,1002.2194,14387.5,200.0,23800.0,115.80451,17.685,6.4462953,5.3999996,2.0364676,-2.6494296,0.3540697,-6.1660185,0.32005134,0.0
2018-01-27 04:00:00+00:00,53.0,8.7805,1.2305,4.759883,-2.154675,34933.965,3600.0,4.65,5.55,1.5,0.0,0.0,1.5,3.0,17.873556,53.639996,200.4508,3.87,1.0623999,2.264302,6.0075836,0.41666666,10.0,0.0,81.916664,100.0,0.0,0.742001,4.513928,-2.351632,1.0623999,70.083336,90.0,54.0,0.0,1018.2959,1022.5,1015.6,997.97797,1001.74817,995.53375,18729.166,10000.0,28500.0,200.4508,27.884996,12.161548,14.4,6.489992,3.2688837,5.645858,-0.63855314,0.45122826,0.0
2018-01-28 04:00:00+00:00,3.0,4.3305,-1.5195,1.6221056,-4.906422,35073.023,10230.111,4.65,5.55,0.0,0.0,0.0,0.0,0.0,9.6932955,27.72,301.9384,6.1,0.71014416,-2.2587116,1.0700834,2.0833333,20.0,0.0,21.625,98.0,0.0,-2.625638,-0.42503464,-5.65622,0.71014416,76.583336,86.0,66.0,0.0,1025.0,1028.6,1020.7,1004.1848,1007.58466,1000.09265,14858.333,11300.0,17900.0,301.9384,15.599999,5.780174,4.32,0.71999997,-0.89119434,1.6825209,-3.161998,0.25037724,0.0
2018-01-29 04:00:00+00:00,73.0,-1.3195,-6.1194997,-5.3237185,-10.746965,35214.883,18896.22,4.65,5.55,0.79999995,0.0,1.6800002,3.2000003,8.0,11.5199995,32.039997,18.078695,9.31,0.6934221,-7.2628617,-3.182,0.41666666,10.0,0.0,68.666664,100.0,0.0,-6.656368,-4.528596,-8.575156,0.6934221,77.666664,91.0,58.0,2.3999999,1025.7292,1028.4,1022.4,1004.5755,1007.3352,1001.0865,11245.833,1500.0,19800.0,18.078695,17.25,7.7422333,9.72,4.39436,-4.8579793,-3.5747585,-6.958455,0.23286569,0.0
2018-01-30 04:00:00+00:00,73.0,-6.1695,-14.8195,-10.71932,-19.400946,35359.34,31450.838,4.65,5.55,0.29999998,0.0,0.63,1.2,3.0,16.78156,45.719997,306.26172,10.97,0.535878,-15.682195,-10.334083,0.0,0.0,0.0,33.375,100.0,0.0,-14.112544,-7.686122,-18.422869,0.535878,74.083336,89.0,62.0,0.90000004,1025.2667,1028.3,1021.8,1003.5533,1006.3645,1000.42786,12116.667,1300.0,21100.0,306.26172,26.054998,12.573588,16.199999,5.6920996,-11.776435,-7.070002,-16.070885,0.111991,0.0
2018-01-31 04:00:00+00:00,73.0,2.5805,-15.9695,-1.9073505,-20.4794,35506.2,8968.909,4.65,5.55,0.8,0.0,1.6099999,3.1,4.0,16.981165,45.0,181.323,9.28,0.81460947,-11.100304,-6.342417,0.0,0.0,0.0,62.25,100.0,0.0,-10.953376,-4.378367,-20.349794,0.81460947,70.708336,88.0,55.0,2.3000002,1014.9458,1026.6,1004.9,993.7526,1004.4537,984.4689,13729.167,900.0,24500.0,181.323,23.685,10.379785,5.3999996,3.2599385,-8.290319,-0.71036386,-17.24612,0.3024189,0.0
2018-02-01 04:00:00+00:00,3.0,3.8305,-8.669499,-0.48751044,-14.329256,35655.26,24910.74,4.65,5.55,0.0,0.0,0.0,0.0,0.0,19.878391,43.56,258.35477,9.54,1.0007569,-5.1909738,-0.6278333,0.0,0.0,0.0,60.416668,100.0,1.0,-5.586451,-1.334417,-14.448223,1.0007569,69.25,77.0,59.0,0.0,1008.56256,1017.4,1005.7,987.9505,995.98865,985.4785,16416.666,11600.0,21600.0,258.35477,25.244997,12.225475,15.4800005,2.9024127,-2.9317646,1.0650296,-10.669502,0.2724289,0.0
2018-02-02 04:00:00+00:00,3.0,-9.2195,-16.3195,-14.462409,-21.929333,35806.344,32151.674,4.65,5.55,0.0,0.0,0.0,0.0,0.0,14.917212,38.519997,280.18195,11.62,0.6064945,-17.37487,-11.990334,1.25,10.0,0.0,35.75,93.0,3.0,-17.215338,-14.581988,-20.349794,0.6064945,65.416664,73.0,52.0,0.0,1024.4126,1027.8,1018.3,1002.5813,1005.76056,996.8258,19287.5,15300.0,27700.0,280.18195,27.495003,11.619365,11.879999,5.815978,-13.628442,-11.1102495,-17.524353,0.13168754,0.0
2018-02-03 04:00:00+00:00,73.0,-2.2195,-10.2695,-7.214171,-15.701336,35959.254,21461.814,4.65,5.55,0.59999996,0.0,1.12,2.2,4.0,16.676977,39.6,208.80168,10.49,0.71565413,-12.307442,-7.1111665,5.0,20.0,0.0,81.541664,100.0,38.0,-11.02388,-4.090294,-14.8299885,0.71565413,73.833336,88.0,65.0,1.6,1021.70435,1025.4,1013.9,1000.32416,1003.76385,993.06415,12870.833,1500.0,18400.0,208.80168,28.725,13.03503,23.039999,10.30883,-8.729335,-3.3296325,-11.814765,0.12366316,0.0
